google,twitter,linkedin,gmail,slideshare,usb,last-fm,wikipedia,wordpress,flickr,yahoo-mail,amazon,facebook,stackoverflow,exe,youtube,ebay,google-docs,blogspot,google-reader,company,REMOTE_ADDR,HTTP_USER_AGENT
no,no,yes,no,no,no,no,yes,no,no,no,yes,no,yes,no,no,yes,no,no,no,Infosys,117.198.106.148,Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.2.3pre) Gecko/20100328 Ubuntu/9.10 (karmic) Namoroka/3.6.3pre
yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,Verizon India,122.178.158.207,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2b4) Gecko/20091124 Firefox/3.6b4
yes,yes,yes,no,no,no,no,yes,yes,no,no,yes,no,yes,no,no,no,yes,yes,no,qwert,121.240.157.179,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.1.9) Gecko/20100315 Firefox/3.5.9 (.NET CLR 3.5.30729)
yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,,123.242.242.16,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; .NET CLR 1.1.4322; .NET CLR 3.0.04506.648; MS-RTC LM 8)
yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Infosys,146.171.254.96,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.3) Gecko/20100401 Firefox/3.6.3
no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,61.246.57.3,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; InfoPath.2; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.648; .NET CLR 3.5.21022; MS-RTC LM 8)
yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,,81.192.49.206,"Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/532.5 (KHTML, like Gecko) Chrome/4.1.249.1064 Safari/532.5"
yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,AC,144.36.223.196,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.0.3705; .NET CLR 1.1.4322; .NET CLR 2.0.50727; InfoPath.2)
yes,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,ITC,125.20.9.11,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)
yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,ITC Infotech India Ltd.,120.16.18.29,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.19) Gecko/2010031422 Firefox/3.0.19
yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,evalueserve,122.161.145.74,"Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/532.5 (KHTML, like Gecko) Chrome/4.1.249.1064 Safari/532.5"
yes,no,no,no,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,yes,no,,59.92.51.253,Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US; rv:1.9.2.3) Gecko/20100401 Firefox/3.6.3
yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,Infy,125.16.17.152,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; InfoPath.2; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)
yes,no,no,no,no,no,no,yes,no,no,no,yes,no,yes,no,no,yes,yes,no,no,infosys,125.16.17.151,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-GB; rv:1.9.1.9) Gecko/20100315 Firefox/3.5.9
yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,Infosys,202.54.176.12,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; InfoPath.2; .NET CLR 2.0.50727)
yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,TCS,125.22.43.2,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0; InfoPath.1; .NET CLR 2.0.50727)
yes,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,Citibank,122.166.91.27,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9) Gecko/2008052906 Firefox/3.0
yes,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,Infosys,167.127.218.60,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.0.3705; .NET CLR 1.1.4322; InfoPath.1; .NET CLR 2.0.50727)
yes,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,wipro,199.241.34.5,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MS-RTC LM 8; InfoPath.1)
yes,no,yes,no,no,yes,no,yes,no,no,no,yes,no,yes,no,no,yes,no,no,yes,"Infosys, London",194.72.84.205,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; InfoPath.2; MS-RTC LM 8; .NET CLR 2.0.50727)
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Tesco.com guest access,194.72.84.205,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; InfoPath.2; MS-RTC LM 8; .NET CLR 2.0.50727)
yes,no,yes,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,yes,yes,TCS,62.50.199.254,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; InfoPath.2; .NET CLR 3.0.04506.648; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; MS-RTC LM 8)
yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,FICO,122.167.241.62,"Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/5.0.342.8 Safari/533.2"
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,OTH,173.206.255.87,Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US; rv:1.9.2.2) Gecko/20100316 Firefox/3.6.2 GTB6 (.NET CLR 3.5.30729)
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,HP,117.192.4.26,"Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/532.5 (KHTML, like Gecko) Chrome/4.1.249.1045 Safari/532.5"
yes,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,Ashok Leyland,122.164.34.67,"Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/532.5 (KHTML, like Gecko) Chrome/4.1.249.1042 Safari/532.5"
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,,123.201.136.74,"Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/532.5 (KHTML, like Gecko) Chrome/4.1.249.1042 Safari/532.5"
yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,Accenture India,144.36.134.237,"Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/532.5 (KHTML, like Gecko) Chrome/4.1.249.1042 Safari/532.5"
yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,international business machines,122.248.163.1,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.2) Gecko/20100316 Firefox/3.6.2
yes,no,yes,no,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,yes,inautix,170.61.18.228,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.2) Gecko/20100316 Firefox/3.6.2
